,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Opp,Pos,MIN,G,A,S,SOG,CC,P,AP,CR,ACR,AW,DR,DSP,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Sandro Tonali,NEW,BRN,M,95.0,0.11,0.11,1.05,0.27,0.91,41.14,48.23,1.32,0.36,0.72,0.71,1.16,1.02,2.27,1.37,0.43,1.22,0.40,0.92,0.00,1.60,1.46,0.15,0.00
Gabriel,ARS,AVL,D,95.0,0.11,0.01,1.03,0.26,0.33,88.33,97.81,0.25,0.01,3.43,0.23,0.28,1.68,2.15,1.26,1.09,6.20,0.43,0.85,0.00,1.21,1.13,0.27,0.01
Pedro Porro,TOT,BRE,D,95.0,0.10,0.16,1.19,0.39,1.50,45.26,57.70,5.60,1.50,1.19,0.95,0.70,1.66,2.79,1.81,0.57,4.15,0.22,1.50,0.00,1.07,1.14,0.33,0.02
Jordan Henderson,BRE,TOT,M,95.0,0.10,0.14,1.02,0.20,1.11,56.38,65.99,2.32,0.56,0.87,0.71,1.17,2.09,3.07,2.00,0.41,2.76,0.29,1.21,0.00,1.26,1.52,0.35,0.00
Elliot Anderson,NFO,EVE,M,95.0,0.10,0.13,1.31,0.31,1.15,45.72,54.06,2.04,0.54,1.70,0.99,1.28,0.99,3.16,1.68,0.45,1.98,0.38,0.96,0.00,1.65,1.64,0.38,0.00
Patrick Dorgu,MUN,WOL,M/D,95.0,0.10,0.10,1.65,0.44,1.59,37.22,45.10,3.86,0.69,1.57,0.99,1.31,0.83,2.55,1.60,0.12,2.42,0.43,0.85,0.00,2.07,1.36,0.12,0.07
Piero Hincapie,ARS,AVL,D,95.0,0.10,0.03,0.92,0.25,0.42,88.85,98.63,0.69,0.17,3.37,0.26,0.34,1.84,2.48,1.55,0.99,6.13,0.43,0.85,0.00,1.35,1.26,0.28,0.01
Josko Gvardiol,MCI,SUN,D,95.0,0.10,0.02,0.80,0.29,0.51,91.74,101.59,0.42,0.08,2.43,0.34,0.28,1.58,1.95,1.36,0.90,5.70,0.42,0.88,0.00,0.64,0.91,0.17,0.01
Dwight McNeil,EVE,NFO,F/M,95.0,0.09,0.30,1.72,0.68,1.84,24.09,30.58,5.06,1.58,0.43,1.78,1.45,0.47,1.86,1.14,0.04,1.13,0.24,1.43,0.00,1.28,0.83,0.06,0.00
Simon Adingra,SUN,MCI,F/M,95.0,0.09,0.19,2.32,0.65,1.46,22.38,27.32,3.32,0.94,0.32,1.61,1.05,0.38,1.32,0.85,0.04,0.62,0.11,2.14,0.00,0.96,0.75,0.02,0.00
Jackson Tchatchoua,WOL,MUN,M/D,95.0,0.09,0.18,0.78,0.30,1.03,21.47,27.08,2.33,0.63,0.88,0.72,0.81,0.88,2.09,1.36,0.19,1.97,0.09,2.27,0.00,0.84,0.87,0.24,0.02
David Brooks,BOU,CHE,M,95.0,0.09,0.15,1.88,0.78,1.64,19.62,25.19,3.26,0.96,0.79,0.98,1.11,0.49,1.15,0.58,0.13,0.89,0.10,2.23,0.00,1.34,0.92,0.25,0.00
Nathaniel Clyne,CRY,FUL,D,95.0,0.09,0.14,1.10,0.55,1.32,31.47,40.27,1.99,0.61,1.18,1.33,0.57,0.82,2.64,1.66,0.29,3.22,0.31,1.18,0.00,1.13,1.27,0.25,0.00
Will Hughes,CRY,FUL,M,95.0,0.09,0.11,1.59,0.42,1.63,43.53,54.05,3.02,0.94,1.38,0.74,1.08,1.26,2.45,1.25,0.58,2.19,0.31,1.18,0.00,1.92,2.06,0.44,0.00
Diogo Dalot,MUN,WOL,M/D,95.0,0.09,0.11,1.35,0.37,1.62,40.14,48.32,3.69,0.65,1.47,1.14,1.01,0.97,2.28,1.40,0.15,2.50,0.43,0.85,0.00,1.14,1.32,0.11,0.04
Adam Wharton,CRY,FUL,M,95.0,0.09,0.06,1.44,0.46,1.70,43.85,55.01,2.60,0.95,1.32,0.71,1.01,1.40,2.43,1.18,0.50,2.45,0.31,1.18,0.00,1.88,1.51,0.33,0.00
Jefferson Lerma,CRY,FUL,M,95.0,0.09,0.04,1.60,0.53,1.27,44.03,55.29,2.00,0.70,1.92,0.72,0.99,1.48,2.09,1.04,0.63,2.76,0.31,1.18,0.00,1.98,1.67,0.40,0.00
Soungoutou Magassa,WHU,BHA,M/D,95.0,0.09,0.04,0.84,0.24,0.67,42.73,50.73,0.64,0.20,1.30,0.81,1.05,1.26,3.30,1.65,0.53,1.65,0.16,1.76,0.00,1.28,1.62,0.33,0.01
William Saliba,ARS,AVL,D,95.0,0.09,0.01,0.74,0.23,0.28,91.23,100.23,0.19,0.01,3.18,0.28,0.35,1.70,2.36,1.35,0.91,6.27,0.43,0.85,0.00,1.08,1.12,0.23,0.01
Mats Wieffer,BHA,WHU,M/D,95.0,0.08,0.23,0.69,0.21,1.04,38.15,45.34,1.78,0.44,1.62,0.49,0.58,1.11,3.47,2.14,0.17,2.58,0.27,1.31,0.00,0.82,1.47,0.30,0.07
Enzo Le Fee,SUN,MCI,F/M,95.0,0.08,0.22,2.12,0.78,1.84,36.67,43.75,3.69,0.70,0.79,1.49,1.97,1.22,2.59,1.61,0.40,1.22,0.11,2.14,0.00,1.67,1.57,0.26,0.00
Ryan Gravenberch,LIV,LEE,M,95.0,0.08,0.13,0.78,0.23,1.03,46.65,53.32,1.32,0.43,0.83,1.00,0.94,2.01,2.69,1.62,0.51,1.47,0.38,0.99,0.00,1.32,1.72,0.28,0.02
Lewis Hall,NEW,BRN,D,95.0,0.08,0.11,0.49,0.14,1.03,37.40,45.08,3.56,0.90,1.37,0.60,0.68,0.84,2.10,1.38,0.43,2.60,0.40,0.92,0.00,0.86,0.73,0.10,0.00
Douglas Luiz,NFO,EVE,M,95.0,0.08,0.07,1.48,0.35,1.23,54.41,62.48,2.55,0.54,1.38,1.08,1.07,1.00,2.92,1.58,0.38,1.47,0.38,0.96,0.00,1.29,1.78,0.32,0.00
